[SUCCESS] 2026-05-23 08:13:07 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:13:07 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:07 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:07 | F1System | ML pipeline tamamlandı: Italy
[INFO] 2026-05-23 08:13:07 | Main | Decision Tree model trained.
[INFO] 2026-05-23 08:13:07 | Visualization | Grafik üretimi başlıyor: Italy
[ERROR] 2026-05-23 08:13:07 | Visualization | Grafik üretim hatası: 'mean'
[INFO] 2026-05-23 08:13:07 | Visualization | Üretilen grafik sayısı: 3
[INFO] 2026-05-23 08:13:07 | ReportGenerator | Rapor üretiliyor: Italy
[WARNING] 2026-05-23 08:13:07 | Main | Rapor hatası (Italy): Invalid format specifier '.4f if rate else 'N/A'' for object of type 'float'
[SUCCESS] 2026-05-23 08:13:07 | F1System | Dashboard data is ready: Italy (1.4s)
[INFO] 2026-05-23 08:13:44 | DataLoader | ==================================================
[INFO] 2026-05-23 08:13:44 | DataLoader | Yarış yükleniyor: Bahrain 2025
[INFO] 2026-05-23 08:13:44 | DataLoader | Bahrain: Ham veri CSV'den okundu (200 satır).
[INFO] 2026-05-23 08:13:44 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:13:44 | Preprocessing | Preprocessing started: Bahrain (200 satır)
[INFO] 2026-05-23 08:13:44 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:13:44 | Database | Bahrain: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:13:44 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:13:44 | FeatureEngineering | Feature engineering başladı: Bahrain
[INFO] 2026-05-23 08:13:44 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:13:44 | F1System | Bahrain: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:13:44 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:13:45 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:13:45 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:13:45 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:13:45 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:45 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:45 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:13:45 | Visualization | Grafik üretimi başlıyor: Bahrain
[INFO] 2026-05-23 08:13:46 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:13:46 | ReportGenerator | Rapor üretiliyor: Bahrain
[INFO] 2026-05-23 08:13:46 | ReportGenerator | Raporlar kaydedildi: bahrain_report_20260523_0813.md, bahrain_report_20260523_0813.txt
[INFO] 2026-05-23 08:14:05 | Dashboard | API isteği: Bahrain
[INFO] 2026-05-23 08:14:05 | DataLoader | ==================================================
[INFO] 2026-05-23 08:14:05 | DataLoader | Yarış yükleniyor: Bahrain 2025
[SUCCESS] 2026-05-23 08:14:05 | F1System | Bahrain: Processed CSV'den yüklendi (200 tur).
[INFO] 2026-05-23 08:14:05 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:14:06 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:14:06 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:14:06 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:14:06 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:14:06 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:14:06 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:14:06 | Visualization | Grafik üretimi başlıyor: Bahrain
[INFO] 2026-05-23 08:14:07 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:17:33 | Dashboard | API isteği: Bahrain
[INFO] 2026-05-23 08:17:33 | DataLoader | ==================================================
[INFO] 2026-05-23 08:17:33 | DataLoader | Yarış yükleniyor: Bahrain 2025
[SUCCESS] 2026-05-23 08:17:33 | F1System | Bahrain: Processed CSV'den yüklendi (200 tur).
[INFO] 2026-05-23 08:17:33 | Analysis | Analizler başlıyor: Bahrain
